# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_truncation	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABITRAM	ABITRAM	NM_017832.4	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABL1	ABL1	NM_005157.6	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABL1	ABL1	NM_007313.2	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABRA	ABRA	NM_139166.5	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAA2	ACAA2	NM_006111.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACAD11	ACAD11	NM_032169.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACAD11	ACAD11	NR_132426.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACAD11	ACAD11	NR_132427.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACAD11	ACAD11	NR_132428.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACADL	ACADL	NM_001608.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACAN	ACAN	NM_001135.3	protein_coding	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ACAN	ACAN	NM_001369268.1	protein_coding	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ACAN	ACAN	NM_013227.3	protein_coding	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ACCS	ACCS	NM_001127219.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACCS	ACCS	NM_032592.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACE	ACE	NM_000789.4	protein_coding	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ACE	ACE	NM_001178057.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ACE	ACE	NM_152830.3	protein_coding	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ACKR4	ACKR4	NM_016557.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR4	ACKR4	NM_178445.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	ACO1	NM_001278352.1	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	ACO1	NM_001362840.2	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	ACO1	NM_002197.3	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT9	ACOT9	NM_001033583.3	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ACOT9	ACOT9	NM_001037171.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ACOT9	ACOT9	NM_001330259.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ACOX1	ACOX1	NM_001185039.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOX1	ACOX1	NM_004035.7	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOX1	ACOX1	NM_007292.6	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG1	ACSBG1	NM_001199377.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACSBG1	ACSBG1	NM_015162.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACSM2A	ACSM2A	NM_001308169.2	protein_coding	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0
ACSM2A	ACSM2A	NM_001308172.2	protein_coding	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0
ACSM2A	ACSM2A	NM_001308954.2	protein_coding	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0
ACSM4	ACSM4	NM_001080454.1	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
ACSS1	ACSS1	NM_001252675.1	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ACSS1	ACSS1	NM_001252676.1	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ACSS1	ACSS1	NM_001252677.1	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ACSS1	ACSS1	NM_032501.4	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ACSS2	ACSS2	NM_001076552.2	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ACSS2	ACSS2	NM_001242393.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACSS2	ACSS2	NM_018677.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACTG1P4	ACTG1P4	NR_024438.2		0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL6A	ACTL6A	NM_004301.5	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACTL6A	ACTL6A	NM_177989.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACTL6A	ACTL6A	NM_178042.3	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ACTN1	ACTN1	NM_001102.4	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ACTN1	ACTN1	NM_001130004.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ACTN1	ACTN1	NM_001130005.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001105.5	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001111067.4	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001347663.1	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001347664.1	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001347665.1	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001347666.1	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ACVR1	ACVR1	NM_001347667.2	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ACVR2A	ACVR2A	NM_001278579.2	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ACVR2A	ACVR2A	NM_001278580.1	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ACVR2A	ACVR2A	NM_001616.5	protein_coding	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ACYP1	ACYP1	NM_001302617.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ACYP1	ACYP1	NR_126394.2		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ADAD1	ADAD1	NM_001159285.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADAD1	ADAD1	NM_001159295.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADAD1	ADAD1	NM_139243.4	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADAD2	ADAD2	NM_001145400.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAD2	ADAD2	NM_139174.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAM19	ADAM19	NM_033274.5	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_001324417.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_001324418.2	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_001324419.2	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_001324420.2	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_001324421.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_004194.4	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0
ADAM22	ADAM22	NM_016351.6	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_021721.4	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_021722.6	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADAM22	ADAM22	NM_021723.5	protein_coding	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0
ADAM32	ADAM32	NM_001313994.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADAM32	ADAM32	NM_145004.7	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADAM3B	ADAM3B	NR_144553.1		0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ADAMTS12	ADAMTS12.2	NM_001324511.2.2	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS12	ADAMTS12.2	NM_001324512.2	protein_coding	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS12	ADAMTS12.2	NM_030955.4	protein_coding	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS19	ADAMTS19	NM_133638.5	protein_coding	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
ADAMTS20	ADAMTS20	NM_025003.5	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADAMTS6	ADAMTS6	NM_197941.4	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS6	ADAMTS6	NR_135689.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS7	ADAMTS7	NM_014272.5	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ADAMTSL2	ADAMTSL2	NM_001145320.1	protein_coding	0	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0
ADAMTSL2	ADAMTSL2	NM_014694.4	protein_coding	0	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0
ADAMTSL3	ADAMTSL3	NM_001301110.2	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ADAMTSL3	ADAMTSL3	NM_207517.3	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ADCYAP1R1	ADCYAP1R1	NM_001118.5	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ADCYAP1R1	ADCYAP1R1	NM_001199635.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ADCYAP1R1	ADCYAP1R1	NM_001199636.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ADCYAP1R1	ADCYAP1R1	NM_001199637.2	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ADGRB3	ADGRB3	NM_001704.3	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ADGRD1	ADGRD1	NM_001330497.2	protein_coding	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0
ADGRD1	ADGRD1	NM_198827.5	protein_coding	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0
ADGRE1	ADGRE1	NM_001256252.2	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ADGRE1	ADGRE1	NM_001256253.2	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ADGRE1	ADGRE1	NM_001256254.2	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ADGRE1	ADGRE1	NM_001256255.2	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ADGRE1	ADGRE1	NM_001974.5	protein_coding	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ADGRF5	ADGRF5	NM_001098518.2	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ADGRF5	ADGRF5	NM_015234.5	protein_coding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ADGRG6	ADGRG6	NM_001032394.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADGRG6	ADGRG6	NM_001032395.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADGRG6	ADGRG6	NM_020455.5	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADGRG6	ADGRG6	NM_198569.3	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ADGRG7	ADGRG7	NM_001308362.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADGRG7	ADGRG7	NM_032787.3	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
