NP_001355814	NM_001368885
NP_001064	NM_001073
NP_057139	NM_016055
NP_001451	NM_001460
NP_619635	NM_138690
NP_775826	NM_173555
NP_689464	NM_152251
NP_001355248	NM_001368319
NP_057104	NM_016020
NP_001317971	NM_001331042
NP_059141	NM_017445
NP_001342176	NM_001355247
NP_775867	NM_173596
NP_001066	NM_001075
NP_001306967	NM_001320038
NP_001278398	NM_001291469
NP_787120	NM_175924
NP_001193933	NM_001207004
NP_001035198	NM_001040109
NP_997010	NM_207127
NP_001337332	NM_001350403
NP_062542	NM_019596
NP_001186729	NM_001199800
NP_001017366	NM_001017366
NP_001035363	NM_001040273
NP_001916	NM_001925
NP_001278397	NM_001291468
NP_001294907	NM_001307978
NP_001308092	NM_001321163
NP_542192	NM_080625
NP_997011	NM_207128
NP_444513	NM_053283
NP_001354710	NM_001367781
NP_115960	NM_032571
NP_001171627	NM_001184698
NP_001278402	NM_001291473
NP_001337923	NM_001350994
NP_001335023	NM_001348094
NP_001161847	NM_001168375
NP_001304823	NM_001317894
NP_001078957	NM_001085488
NP_001357149	NM_001370220
NP_758441	NM_172241
NP_001278403	NM_001291474
NP_001288609	NM_001301680
NP_001306000	NM_001319071
NP_001357150	NM_001370221
NP_001278401	NM_001291472
NP_001276088	NM_001289159
NP_001158067	NM_001164595
NP_068734	NM_021915
NP_001192177	NM_001205248
NP_001186902	NM_001199973
NP_001278399	NM_001291470
NP_001292353	NM_001305424
NP_996803	NM_206920
NP_001268940	NM_001282011
NP_001155968	NM_001162496
NP_689687	NM_152474
NP_001155967	NM_001162495
NP_001287777	NM_001300848
NP_001304267	NM_001317338
NP_001034662	NM_001039573
NP_001073137	NM_001079669
NP_443109	NM_052877
NP_001189438	NM_001202509
NP_055885	NM_015070
NP_004116	NM_004125
NP_001317495	NM_001330566
NP_001034221	NM_001039132
NP_001276068	NM_001289139
NP_037509	NM_013377
NP_001018146	NM_001018136
NP_001290356	NM_001303427
NP_001278400	NM_001291471
NP_001185808	NM_001198879
NP_001304822	NM_001317893
NP_001269392	NM_001282463
NP_001155843	NM_001162371
NP_001334813	NM_001347884
NP_001189414	NM_001202485
NP_001191028	NM_001204099
NP_001070256	NM_001076788
NP_001185903	NM_001198974
NP_076435	NM_023946
NP_065131	NM_020398
NP_001337229	NM_001350300
NP_001186673	NM_001199744
NP_001268659	NM_001281730
NP_001191800	NM_001204871
NP_001269385	NM_001282456
NP_001317494	NM_001330565
NP_001186464	NM_001199535
NP_742086	NM_172089
NP_001271190	NM_001284261
NP_001191027	NM_001204098
NP_001350454	NM_001363525
NP_938026	NM_198285
NP_001305429	NM_001318500
NP_001271189	NM_001284260
NP_001193872	NM_001206943
NP_001317235	NM_001330306
NP_001191337	NM_001204408
NP_001307656	NM_001320727
NP_001358295	NM_001371366
NP_001243228	NM_001256299
NP_001130008	NM_001136536
NP_001191354	NM_001204425
NP_001358293	NM_001371364
NP_001352835	NM_001365906
NP_001104292	NM_001110822
NP_060523	NM_018053
NP_001500	NM_001509
NP_066544	NM_021066
NP_001304673	NM_001317744
NP_001010893	NM_001010893
NP_001358294	NM_001371365
NP_001303822	NM_001316893
NP_001317496	NM_001330567
NP_001337267	NM_001350338
NP_001004432	NM_001004432
NP_001358296	NM_001371367
NP_001303260	NM_001316331
NP_612153	NM_138296
NP_001193873	NM_001206944
NP_001371263	NM_001384334
NP_001009610	NM_001009610
NP_001371697	NM_001384768
NP_001185517	NM_001198588
NP_001342374	NM_001355445
NP_001371704	NM_001384775
NP_001369135	NM_001382206
NP_001369137	NM_001382208
NP_001288028	NM_001301099
NP_954673	NM_199203
NP_005683	NM_005692
NP_001166138	NM_001172667
NP_001369140	NM_001382211
NP_001371700	NM_001384771
NP_001369139	NM_001382210
NP_057574	NM_016490
NP_001371698	NM_001384769
NP_001371693	NM_001384764
NP_001369141	NM_001382212
NP_001369138	NM_001382209
NP_065741	NM_020690
NP_001371699	NM_001384770
NP_001369142	NM_001382213
NP_001342375	NM_001355446
NP_001365719	NM_001378790
NP_001371262	NM_001384333
NP_005081	NM_005090
NP_001369143	NM_001382214
NP_001371702	NM_001384773
NP_001290559	NM_001303630
NP_001369136	NM_001382207
NP_001295031	NM_001308102
NP_001339616	NM_001352687
NP_001186506	NM_001199577
NP_001371701	NM_001384772
NP_001269393	NM_001282464
NP_001365364	NM_001378435
NP_001371695	NM_001384766
NP_001371696	NM_001384767
NP_001342378	NM_001355449
NP_001185774	NM_001198845
NP_001371694	NM_001384765
NP_001161849	NM_001168377
NP_001229409	NM_001242480
NP_001230709	NM_001243780
NP_001334609	NM_001347680
NP_001352968	NM_001366039
NP_079543	NM_025267
NP_001189402	NM_001202473
NP_001334610	NM_001347681
NP_001230707	NM_001243778
NP_001306966	NM_001320037
NP_851851	NM_181334
NP_001292154	NM_001305225
NP_054874	NM_014155
NP_001185775	NM_001198846
NP_001189399	NM_001202470
NP_001342376	NM_001355447
NP_001271191	NM_001284262
NP_001230708	NM_001243779
NP_001334611	NM_001347682
NP_001186752	NM_001199823
NP_001357209	NM_001370280
NP_001357200	NM_001370271
NP_001357211	NM_001370282
NP_001357213	NM_001370284
NP_001357220	NM_001370291
NP_001357201	NM_001370272
NP_001191348	NM_001204419
NP_001357204	NM_001370275
NP_001357219	NM_001370290
NP_001357222	NM_001370293
NP_001191347	NM_001204418
NP_001357203	NM_001370274
NP_001357207	NM_001370278
NP_004287	NM_004296
NP_001191353	NM_001204424
NP_001357218	NM_001370289
NP_001191351	NM_001204422
NP_001191345	NM_001204416
NP_001191352	NM_001204423
NP_001357223	NM_001370294
NP_001357202	NM_001370273
NP_001357206	NM_001370277
NP_001357210	NM_001370281
NP_001357216	NM_001370287
NP_001357212	NM_001370283
NP_001357221	NM_001370292
NP_001357215	NM_001370286
NP_001357208	NM_001370279
NP_001357199	NM_001370270
NP_001357205	NM_001370276
NP_001191350	NM_001204421
NP_001191349	NM_001204420
NP_001191346	NM_001204417
NP_001357217	NM_001370288
NP_056235	NM_015420
NP_001374775	NM_001387846
NP_001374774	NM_001387845
NP_001342216	NM_001355287
NP_001177829	NM_001190900
NP_001177821	NM_001190892
NP_077722	NM_024411
NP_001352915	NM_001365986
NP_001341568	NM_001354639
NP_001177827	NM_001190898
NP_001153805	NM_001160333
NP_001005389	NM_001005389
NP_001103132	NM_001109662
NP_001365260	NM_001378331
NP_055905	NM_015090
NP_001153804	NM_001160332
NP_001365258	NM_001378329
NP_001365259	NM_001378330
NP_006261	NM_006270
NP_115635	NM_032259
NP_001340263	NM_001353334
NP_001157888	NM_001164416
NP_001375411	NM_001388482
NP_055814	NM_014999
NP_001304915	NM_001317986
NP_003357	NM_003366
NP_055741	NM_014926
NP_078794	NM_024518
NP_071760	NM_022365
NP_001304914	NM_001317985
NP_002026	NM_002035
NP_005693	NM_005702
NP_001603	NM_001612
NP_001305739	NM_001318810
NP_703190	NM_153460
NP_001305740	NM_001318811
NP_001289194	NM_001302265
NP_001352567	NM_001365638
NP_056039	NM_015224
NP_061131	NM_018661
NP_002925	NM_002934
NP_001352565	NM_001365636
NP_001352566	NM_001365637
NP_001350869	NM_001363940
NP_001010867	NM_001010867
NP_001106207	NM_001112736
NP_056984	NM_015900
NP_001305776	NM_001318847
NP_006577	NM_006586
NP_001305777	NM_001318848
NP_055999	NM_015184
NP_001005785	NM_001005785
NP_001375422	NM_001388493
NP_001005786	NM_001005786
NP_001342377	NM_001355448
NP_001375424	NM_001388495
NP_001375423	NM_001388494
NP_001354838	NM_001367909
NP_001019850	NM_001024679
NP_659409	NM_144972
NP_001131020	NM_001137548
NP_001356754	NM_001369825
NP_066296	NM_021016
NP_066384	NM_021046
NP_116078	NM_032689
NP_001308280	NM_001321351
NP_001036158	NM_001042693
NP_653285	NM_144684
NP_001011671	NM_001011671
NP_037382	NM_013250
NP_001182500	NM_001195571
NP_001124401	NM_001130929
NP_690004	NM_152791
NP_057346	NM_016262
NP_001263616	NM_001276687
NP_001354118	NM_001367189
NP_001092690	NM_001099220
NP_848651	NM_178556
NP_114037	NM_031849
NP_976222	NM_203347
NP_001001712	NM_001001712
NP_036500	NM_012368
NP_001106189	NM_001112718
NP_001020528	NM_001025357
NP_057145	NM_016061
NP_115494	NM_032118
NP_689733	NM_152520
NP_872384	NM_182578
NP_938016	NM_198275
NP_001356571	NM_001369642
NP_116248	NM_032859
NP_001005180	NM_001005180
NP_932079	NM_197975
NP_001269421	NM_001282492
NP_612376	NM_138367
NP_001293016	NM_001306087
NP_001131080	NM_001137608
NP_001156981	NM_001163509
NP_001036017	NM_001042552
NP_071403	NM_022120
NP_036583	NM_012451
NP_001357085	NM_001370156
NP_892030	NM_182985
NP_001356693	NM_001369764
NP_690047	NM_152834
NP_001356428	NM_001369499
NP_001012521	NM_001012503
NP_001354543	NM_001367614
NP_060811	NM_018341
NP_001264049	NM_001277120
NP_001092739	NM_001099269
NP_699191	NM_153360
NP_001303621	NM_001316692
NP_001159509	NM_001166037
NP_001341927	NM_001354998
NP_941963	NM_198690
NP_060860	NM_018390
NP_612393	NM_138384
NP_001182207	NM_001195278
NP_001357430	NM_001370501
NP_001009996	NM_001009996
NP_062537	NM_019591
NP_689680	NM_152467
NP_001357459	NM_001370530
NP_057192	NM_016108
NP_001337932	NM_001351003
NP_004669	NM_004678
NP_001106873	NM_001113402
NP_001357410	NM_001370481
NP_001138462	NM_001144990
NP_001171668	NM_001184739
NP_001962	NM_001971
NP_001354895	NM_001367966
NP_055324	NM_014509
NP_001005489	NM_001005489
NP_001012418	NM_001012418
NP_149040	NM_033051
NP_543022	NM_080832
NP_064515	NM_020130
NP_872403	NM_182597
NP_001354738	NM_001367809
NP_115512	NM_032136
NP_006291	NM_006300
NP_542184	NM_080617
NP_001025040	NM_001029869
NP_001356636	NM_001369707
NP_001284551	NM_001297622
NP_758952	NM_172364
NP_001012417	NM_001012417
NP_001182005	NM_001195076
NP_115993	NM_032604
NP_008900	NM_006969
NP_150282	NM_033257
NP_001166244	NM_001172773
NP_862828	NM_181845
NP_659436	NM_144999
NP_001354295	NM_001367366
NP_001229797	NM_001242868
NP_689663	NM_152450
NP_001356756	NM_001369827
NP_689542	NM_152329
NP_110442	NM_030815
NP_001078924	NM_001085455
NP_694535	NM_152990
NP_001307173	NM_001320244
NP_115649	NM_032273
NP_653190	NM_144589
NP_001289764	NM_001302835
NP_078939	NM_024663
NP_001354892	NM_001367963
NP_078969	NM_024693
NP_001356695	NM_001369766
NP_001177401	NM_001190472
NP_001356757	NM_001369828
NP_001272414	NM_001285485
NP_997248	NM_207365
NP_055465	NM_014650
NP_001291203	NM_001304274
NP_001309400	NM_001322471
NP_003432	NM_003441
NP_001009894	NM_001009894
NP_001357231	NM_001370302
NP_689857	NM_152644
NP_037445	NM_013313
NP_001157018	NM_001163546
NP_001356561	NM_001369632
NP_001035800	NM_001040710
NP_001349704	NM_001362775
NP_061755	NM_018932
NP_061993	NM_019120
NP_001292323	NM_001305394
NP_001357412	NM_001370483
NP_112495	NM_031218
NP_859016	NM_181688
NP_009157	NM_007226
NP_002776	NM_002785
NP_001276116	NM_001289187
NP_001356632	NM_001369703
NP_001356330	NM_001369401
NP_001092305	NM_001098835
NP_001305807	NM_001318878
NP_001159898	NM_001166426
NP_056159	NM_015344
NP_835229	NM_178128
NP_001004325	NM_001004325
NP_777569	NM_174909
NP_612355	NM_138346
NP_690048	NM_152835
NP_653282	NM_144681
NP_001287904	NM_001300975
NP_001158283	NM_001164811
NP_001157914	NM_001164442
NP_001182209	NM_001195280
NP_689899	NM_152686
NP_001107875	NM_001114403
NP_078801	NM_024525
NP_653311	NM_144710
NP_001340294	NM_001353365
NP_940876	NM_198474
NP_116129	NM_032740
NP_001243896	NM_001256967
NP_060689	NM_018219
NP_067092	NM_021269
NP_006376	NM_006385
NP_001136115	NM_001142643
NP_997393	NM_207510
NP_001073997	NM_001080528
NP_001229450	NM_001242521
NP_061844	NM_018971
NP_001356755	NM_001369826
NP_001035892	NM_001042427
NP_115954	NM_032565
NP_001354548	NM_001367619
NP_001289765	NM_001302836
NP_001243070	NM_001256141
NP_976249	NM_203371
NP_001357138	NM_001370209
NP_079109	NM_024833
NP_001356567	NM_001369638
NP_116324	NM_032935
NP_001123214	NM_001129742
NP_940944	NM_198542
NP_115809	NM_032433
NP_001354839	NM_001367910
NP_061753	NM_018930
NP_001005285	NM_001005285
NP_055281	NM_014466
NP_821138	NM_178019
NP_112153	NM_030891
NP_722578	NM_153836
NP_076972	NM_024067
NP_001034860	NM_001039771
NP_059977	NM_017507
NP_001341140	NM_001354211
NP_001004318	NM_001004318
NP_078896	NM_024620
NP_001136205	NM_001142733
NP_542188	NM_080621
NP_001139140	NM_001145668
NP_001182760	NM_001195831
NP_001357389	NM_001370460
NP_001239	NM_001248
NP_872321	NM_182515
NP_112231	NM_030969
NP_003420	NM_003429
NP_001352733	NM_001365804
NP_001354840	NM_001367911
NP_056094	NM_015279
NP_775903	NM_173632
NP_001357304	NM_001370375
NP_775834	NM_173563
NP_001356690	NM_001369761
NP_620158	NM_138803
NP_001337860	NM_001350931
NP_001182470	NM_001195541
NP_075379	NM_023003
NP_001177405	NM_001190476
NP_001340116	NM_001353187
NP_001092096	NM_001098626
NP_660152	NM_145169
NP_001156002	NM_001162530
NP_612472	NM_138463
NP_001278246	NM_001291317
NP_001357076	NM_001370147
NP_543144	NM_080868
NP_061181	NM_018711
NP_001357391	NM_001370462
NP_001275927	NM_001288998
NP_079009	NM_024733
NP_001335301	NM_001348372
NP_899061	NM_183238
NP_003402	NM_003411
NP_001008801	NM_001008801
NP_057060	NM_015976
NP_001337065	NM_001350136
NP_001139816	NM_001146344
NP_005289	NM_005298
NP_857594	NM_181643
NP_060749	NM_018279
NP_059976	NM_017506
NP_689566	NM_152353
NP_653275	NM_144674
NP_001164376	NM_001170905
NP_001012728	NM_001012710
NP_060646	NM_018176
NP_001157908	NM_001164436
NP_001354737	NM_001367808
NP_776168	NM_173807
NP_001093164	NM_001099694
NP_001356570	NM_001369641
NP_077317	NM_024341
NP_998821	NM_213656
NP_005176	NM_005185
NP_006298	NM_006307
NP_056495	NM_015680
NP_001001664	NM_001001664
NP_775927	NM_173656
NP_001357413	NM_001370484
NP_001356639	NM_001369710
NP_115906	NM_032517
NP_689753	NM_152540
NP_001275669	NM_001288740
NP_036447	NM_012315
NP_570128	NM_130772
NP_003808	NM_003817
NP_079490	NM_025214
NP_006820	NM_006829
NP_570602	NM_130786
NP_001306081	NM_001319152
NP_001025045	NM_001029874
NP_006430	NM_006439
NP_005279	NM_005288
NP_149059	NM_033068
NP_060846	NM_018376
NP_055444	NM_014629
NP_057620	NM_016536
NP_001317390	NM_001330461
NP_001356565	NM_001369636
NP_001356430	NM_001369501
NP_695001	NM_153269
NP_776167	NM_173806
NP_473364	NM_054023
NP_001317715	NM_001330786
NP_078988	NM_024712
NP_061761	NM_018938
NP_001307108	NM_001320179
NP_001357313	NM_001370384
NP_001004297	NM_001004297
NP_001357301	NM_001370372
NP_061919	NM_019046
NP_001354101	NM_001367172
NP_001355297	NM_001368368
NP_001356692	NM_001369763
NP_001357184	NM_001370255
NP_001357428	NM_001370499
NP_001073873	NM_001080404
NP_065157	NM_020424
NP_001010897	NM_001010897
NP_940968	NM_198566
NP_694989	NM_153257
NP_705900	NM_153636
NP_001356422	NM_001369493
NP_057522	NM_016438
NP_031382	NM_007356
NP_001180460	NM_001193531
NP_001304732	NM_001317803
NP_001004731	NM_001004731
NP_699160	NM_153329
NP_001356759	NM_001369830
NP_001240723	NM_001253794
NP_001357570	NM_001370641
NP_001008777	NM_001008777
NP_997287	NM_207404
NP_001017992	NM_001017992
NP_079232	NM_024956
NP_001356586	NM_001369657
NP_001243758	NM_001256829
NP_001036090	NM_001042625
NP_001278245	NM_001291316
NP_004817	NM_004826
NP_001357112	NM_001370183
NP_001012988	NM_001012970
NP_001354897	NM_001367968
NP_001007190	NM_001007189
NP_001005212	NM_001005212
NP_996881	NM_206998
NP_653294	NM_144693
NP_660308	NM_145265
NP_001165576	NM_001172105
NP_001121774	NM_001128302
NP_001357390	NM_001370461
NP_001138946	NM_001145474
NP_689994	NM_152781
NP_001034300	NM_001039211
NP_001121773	NM_001128301
NP_003405	NM_003414
NP_660276	NM_145233
NP_001356818	NM_001369889
NP_001269473	NM_001282544
NP_663771	NM_145719
NP_620140	NM_138785
NP_002775	NM_002784
NP_001356691	NM_001369762
NP_689725	NM_152512
NP_001004320	NM_001004320
NP_001010851	NM_001010851
NP_612412	NM_138403
NP_001254645	NM_001267716
NP_932355	NM_198089
NP_001137157	NM_001143685
NP_001355052	NM_001368123
NP_001357416	NM_001370487
NP_061921	NM_019048
NP_001339609	NM_001352680
NP_001186148	NM_001199219
NP_065199	NM_020466
NP_076434	NM_023945
NP_001275670	NM_001288741
NP_001357086	NM_001370157
NP_001357411	NM_001370482
NP_001356697	NM_001369768
NP_001180481	NM_001193552
NP_001005405	NM_001005405
NP_065170	NM_020437
NP_001356793	NM_001369864
NP_689626	NM_152413
NP_001001317	NM_001001317
NP_001357415	NM_001370486
NP_945343	NM_198992
NP_001288638	NM_001301709
NP_001123468	NM_001129996
NP_653246	NM_144645
NP_114404	NM_032015
NP_061758	NM_018935
NP_001340104	NM_001353175
NP_001025059	NM_001029888
NP_071332	NM_022049
NP_076433	NM_023944
NP_640333	NM_139240
NP_848578	NM_178483
NP_067040	NM_021217
NP_543139	NM_080863
NP_115950	NM_032561
NP_001351709	NM_001364780
NP_001008489	NM_001008489
NP_006643	NM_006652
NP_001129588	NM_001136116
NP_001277197	NM_001290268
NP_001356633	NM_001369704
NP_690046	NM_152833
NP_940893	NM_198491
NP_001339376	NM_001352447
NP_060817	NM_018347
NP_852607	NM_181506
NP_543154	NM_080878
NP_001028891	NM_001033719
NP_689697	NM_152484
NP_060947	NM_018477
NP_001158311	NM_001164839
NP_872303	NM_182497
NP_787084	NM_175888
NP_001339745	NM_001352816
NP_689502	NM_152289
NP_789846	NM_176870
NP_689973	NM_152760
NP_001354547	NM_001367618
NP_001186253	NM_001199324
NP_001034461	NM_001039372
NP_001337066	NM_001350137
NP_001352719	NM_001365790
NP_001333004	NM_001346075
NP_061756	NM_018933
NP_008980	NM_007049
NP_001007090	NM_001007089
NP_976048	NM_203303
NP_542177	NM_080610
NP_001356132	NM_001369203
NP_001258629	NM_001271700
NP_079189	NM_024913
NP_689569	NM_152356
NP_001357666	NM_001370737
NP_001193776	NM_001206847
NP_001356573	NM_001369644
NP_612404	NM_138395
NP_073740	NM_022829
NP_006621	NM_006630
NP_079280	NM_025004
NP_001336655	NM_001349726
NP_689481	NM_152268
NP_001357392	NM_001370463
NP_005344	NM_005353
NP_001357115	NM_001370186
NP_001035881	NM_001042416
NP_001006606	NM_001006605
NP_001138466	NM_001144994
NP_001177631	NM_001190702
NP_001138663	NM_001145191
NP_060545	NM_018075
NP_001001795	NM_001001795
NP_061754	NM_018931
NP_115829	NM_032453
NP_003483	NM_003492
NP_001079990	NM_001086521
NP_001229588	NM_001242659
NP_001357230	NM_001370301
NP_987090	NM_203494
NP_803190	NM_177441
NP_001177637	NM_001190708
NP_001356560	NM_001369631
NP_001159607	NM_001166135
NP_001003760	NM_001003760
NP_001356637	NM_001369708
NP_001138409	NM_001144937
NP_001356638	NM_001369709
NP_001271279	NM_001284350
NP_116176	NM_032787
NP_057245	NM_016161
NP_001096079	NM_001102609
NP_001138906	NM_001145434
NP_001350037	NM_001363108
NP_065864	NM_020813
NP_078855	NM_024579
NP_775183	NM_173160
NP_001012361	NM_001012361
NP_001269398	NM_001282469
NP_653239	NM_144638
NP_001350038	NM_001363109
NP_689689	NM_152476
NP_060622	NM_018152
NP_001157929	NM_001164457
NP_055513	NM_014698
NP_001123618	NM_001130146
NP_660338	NM_145295
NP_079533	NM_025257
NP_001182010	NM_001195081
NP_001229609	NM_001242680
NP_001015882	NM_001015882
NP_055104	NM_014289
NP_001356566	NM_001369637
NP_003426	NM_003435
NP_000660	NM_000669
NP_201572	NM_033315
NP_001275584	NM_001288655
NP_001357111	NM_001370182
NP_066002	NM_020951
NP_001357409	NM_001370480
NP_001091846	NM_001098376
NP_612442	NM_138433
NP_001129672	NM_001136200
NP_116037	NM_032648
NP_079331	NM_025055
NP_001357185	NM_001370256
NP_001275738	NM_001288809
NP_714923	NM_153712
NP_005575	NM_005584
NP_078859	NM_024583
NP_061126	NM_018656
NP_997291	NM_207408
NP_001073970	NM_001080501
NP_078952	NM_024676
NP_001120872	NM_001127400
NP_663626	NM_145651
NP_848644	NM_178549
NP_694542	NM_152997
NP_060151	NM_017681
NP_001034463	NM_001039374
NP_001258934	NM_001272005
NP_116207	NM_032818
NP_057044	NM_015960
NP_001357137	NM_001370208
NP_001138747	NM_001145275
NP_659421	NM_144984
NP_001357182	NM_001370253
NP_001292322	NM_001305393
NP_001356328	NM_001369399
NP_006134	NM_006143
NP_001013867	NM_001013845
NP_001357299	NM_001370370
NP_001356564	NM_001369635
NP_001026872	NM_001031702
NP_612387	NM_138378
NP_056469	NM_015654
NP_001139182	NM_001145710
NP_078869	NM_024593
NP_110424	NM_030797
NP_963844	NM_201550
NP_001357664	NM_001370735
NP_115752	NM_032376
NP_065127	NM_020394
NP_008886	NM_006955
NP_001356631	NM_001369702
NP_995327	NM_205855
NP_001356703	NM_001369774
NP_569059	NM_130388
NP_115520	NM_032144
NP_776254	NM_173855
NP_872296	NM_182490
NP_060812	NM_018342
NP_001152765	NM_001159293
NP_001355298	NM_001368369
NP_001013765	NM_001013743
NP_001356634	NM_001369705
NP_659478	NM_145041
NP_001357186	NM_001370257
NP_001171835	NM_001184906
NP_001356562	NM_001369633
NP_699178	NM_153347
NP_001138748	NM_001145276
NP_001354896	NM_001367967
NP_060779	NM_018309
NP_001012991	NM_001012973
NP_001356568	NM_001369639
NP_001128165	NM_001134693
NP_005771	NM_005780
NP_951032	NM_199069
NP_009169	NM_007238
NP_009144	NM_007213
NP_001356696	NM_001369767
NP_001138565	NM_001145093
NP_998768	NM_213603
NP_001357302	NM_001370373
NP_001356702	NM_001369773
NP_001122	NM_001131
NP_859012	NM_181684
NP_803253	NM_177458
NP_001309303	NM_001322374
NP_001182449	NM_001195520
NP_001264326	NM_001277397
NP_056484	NM_015669
NP_525128	NM_080389
NP_005904	NM_005913
NP_660274	NM_145231
NP_671731	NM_147198
NP_001357427	NM_001370498
NP_982276	NM_203451
NP_079219	NM_024943
NP_004791	NM_004800
NP_001356817	NM_001369888
NP_443084	NM_052852
NP_001123503	NM_001130031
NP_001307263	NM_001320334
NP_001356694	NM_001369765
NP_001019772	NM_001024601
NP_001265526	NM_001278597
NP_001161707	NM_001168235
NP_060394	NM_017924
NP_689568	NM_152355
NP_001355019	NM_001368090
NP_078995	NM_024719
NP_002153	NM_002162
NP_001010886	NM_001010886
NP_001357300	NM_001370371
NP_001354736	NM_001367807
NP_001357568	NM_001370639
NP_001161374	NM_001167902
NP_057111	NM_016027
NP_001357429	NM_001370500
NP_115500	NM_032124
NP_001078950	NM_001085481
NP_001004723	NM_001004723
NP_660319	NM_145276
NP_060671	NM_018201
NP_001153587	NM_001160115
NP_001128308	NM_001134836
NP_001290408	NM_001303479
NP_085054	NM_030577
NP_001340712	NM_001353783
NP_037458	NM_013326
NP_776172	NM_173811
NP_001357114	NM_001370185
NP_001357665	NM_001370736
NP_653199	NM_144598
NP_061763	NM_018940
NP_001356332	NM_001369403
NP_005806	NM_005815
NP_001339044	NM_001352115
NP_001356574	NM_001369645
NP_008926	NM_006995
NP_001004301	NM_001004301
NP_065734	NM_020683
NP_612383	NM_138374
NP_001335085	NM_001348156
NP_001356612	NM_001369683
NP_001137854	NM_001144382
NP_001336286	NM_001349357
NP_775859	NM_173588
NP_001186285	NM_001199356
NP_001356563	NM_001369634
NP_001094800	NM_001101330
NP_115815	NM_032439
NP_001158051	NM_001164579
NP_976310	NM_203376
NP_941965	NM_198692
NP_075563	NM_023075
NP_001264332	NM_001277403
