NM_002495	O43181	NDUFS4
NM_139057	Q8TE56	ADAMTS17
NM_080865	Q9BZJ7	GPR62
NM_001039999	A6ND36	FAM83G
NM_012363	Q8NGS0	OR1N1
NM_021646	O60304	ZNF500
NM_001374740	P21217	FUT3
NM_000483	P02655	APOC2
NM_007335	Q9Y238	DLEC1
NM_002165	P41134	ID1
NM_001080534	Q8NB66	UNC13C
NM_002995	P47992	XCL1
NM_021214	Q6PCB6	ABHD17C
NM_001376	Q14204	DYNC1H1
NM_003455	O95125	ZNF202
NM_032174	Q969M1	TOMM40L
NM_016207	Q9UKF6	CPSF3
NM_213656	Q6A163	KRT39
NM_145860	Q9BUL8	PDCD10
NM_024410	Q14990	ODF1
NM_016391	Q9Y3C1	NOP16
NM_005632	O75808	CAPN15
NM_015719	P25940	COL5A3
NM_001031709	Q5VYX0	RNLS
NM_006863	O75019	LILRA1
NM_006545	Q8WTW4	NPRL2
NM_175053	Q7RTS7	KRT74
NM_181836	Q9Y3B3	TMED7
NM_018946	Q9NR45	NANS
NM_138554	O00206	TLR4
NM_002302	O14960	LECT2
NM_033520	Q9GZP8	IMUP
NM_015886	O43692	PI15
NM_000823	Q02643	GHRHR
NM_052879	Q71RC2	LARP4
NM_207417	Q6ZQR2	CFAP77
NM_003792	O60869	EDF1
NM_002906	P35241	RDX
NM_024869	Q8TAY7	FAM110D
NM_017515	Q8IXU6	SLC35F2
NM_001351264	Q9BSJ5	C17orf80
NM_016202	Q9UK33	ZNF580
NM_032623	Q8TDB4	MGARP
NM_001004462	Q8NGN3	OR10G4
NM_001232	O14958	CASQ2
NM_001219	O43852	CALU
NM_001394756	A7MCY6	TBKBP1
NM_005477	Q9Y3Q4	HCN4
NM_020336	Q86X10	RALGAPB
NM_001841	P34972	CNR2
NM_052929	B1AJZ9	FHAD1
NM_023039	Q9H9E1	ANKRA2
NM_021960	Q07820	MCL1
NM_152755	Q8N129	CNPY4
NM_001145101	B2RXH4	BTBD18
NM_001358530	Q9NZB8	MOCS1
NM_005435	Q12774	ARHGEF5
NM_001330723	Q96L92	SNX27
NM_001236	O75828	CBR3
NM_005338	O00291	HIP1
NM_182542	Q5W0A0	ERICH6B
NM_001040402	Q92564	DCUN1D4
NM_001282660	Q969V6	MRTFA
NM_001146688	Q9Y4C1	KDM3A
NM_020862	Q9P244	LRFN1
NM_014773	Q14154	DELE1
NM_014473	Q9UNQ2	DIMT1
NM_001105578	Q6PIF2	SYCE2
NM_004646	O60500	NPHS1
NM_001386096	A4D2G3	OR2A25
NM_001365836	O75170	PPP6R2
NM_019120	Q9UN66	PCDHB8
NM_033119	Q969G9	NKD1
NM_014427	Q9UBL6	CPNE7
NM_014467	O60687	SRPX2
NM_001291324	Q9P281	BAHCC1
NM_001256859	D6R9N7	USP17L18
NM_001010915	Q5VWC8	HACD4
NM_001358699	A6NIN4	RNF227
NM_032182	Q15018	ABRAXAS2
NM_001351111	P0DP71/A0A1B0GTK5	FAM236C/FAM236D
NM_004093	P52799	EFNB2
NM_021058	P06899	H2BC11
NM_002429	Q99542	MMP19
NM_181900	Q9NSY2	STARD5
NM_003133	P49458	SRP9
NM_033034	Q9C035	TRIM5
NM_004792	Q13427	PPIG
NM_001080421	Q9UPW8	UNC13A
NM_003632	P78357	CNTNAP1
NM_016009	Q9Y371	SH3GLB1
NM_018688	Q9NQY0	BIN3
NM_003385	P62760	VSNL1
NM_014297	O95571	ETHE1
NM_019065	Q7Z6G3	NECAB2
NM_002345	P51884	LUM
NM_001377304	Q5VTD9	GFI1B
NM_002014	Q02790	FKBP4
NM_015474	Q9Y3Z3	SAMHD1
NM_001443	P07148	FABP1
NM_138636	Q9NR97	TLR8
NM_153363	Q8IYX0	ZNF679
NM_152485	Q96LT6	C1orf74
NM_152261	Q8WUH6	TMEM263
NM_020805	Q9P2G3	KLHL14
NM_002762	P04554	PRM2
NM_001270377	Q86W74	ANKRD46
NM_153209	Q2TAC6	KIF19
NM_172069	Q8IVE3	PLEKHH2
NM_005497	P36383	GJC1
NM_052862	Q6JBY9	RCSD1
NM_001093771	Q16881	TXNRD1
NM_198551	Q5JRA6	MIA3
NM_173500	Q6IQ55	TTBK2
NM_001144952	Q58EX2	SDK2
NM_002084	P22352	GPX3
NM_016027	Q53H82	LACTB2
NM_001013659	Q6ZN11	ZNF793
NM_020792	Q6PIU2	NCEH1
NM_001396012	A0A1W2PQL4	ZNF722P
NM_000379	P47989	XDH
NM_013352	Q9UL01	DSE
NM_203291	Q99708	RBBP8
NM_003599	O75486	SUPT3H
NM_005447	O75901	RASSF9
NM_018723	Q9NWB1	RBFOX1
NM_016089	Q86UQ0	ZNF589
NM_021170	Q9HCC6	HES4
NM_002730	P17612	PRKACA
NM_024535	P57737	CORO7
NM_021082	Q16348	SLC15A2
NM_019613	Q5MNZ6	WDR45B
NM_078481	P48960	ADGRE5
NM_031443	Q9BSQ5	CCM2
NM_002471	P13533	MYH6
NM_001101357	A6NGH7	CCDC160
NM_000290	P15259	PGAM2
NM_002113	Q03591	CFHR1
NM_001042522	Q2MJR0	SPRED3
NM_003898	O15056	SYNJ2
NM_023110	P11362	FGFR1
NM_032551	Q969F8	KISS1R
NM_005601	Q16617	NKG7
NM_003062	O75094	SLIT3
NM_024580	Q7Z2Z2	EFL1
NM_022497	P82663	MRPS25
NM_181784	Q7Z698	SPRED2
NM_025052	Q56UN5	MAP3K19
NM_001145319	Q14651	PLS1
NM_001091	P19801	AOC1
NM_024072	Q8TDD1	DDX54
NM_024590	Q5FYB0	ARSJ
NM_001144978	Q9H903	MTHFD2L
NM_014911	Q2M2I8	AAK1
NM_021156	Q9H1E5	TMX4
NM_000996	P18077	RPL35A
NM_014712	O15047	SETD1A
NM_017580	Q9UGI0	ZRANB1
NM_053278	Q969N4	TAAR8
NM_032727	Q16352	INA
NM_031925	Q9BXJ8	TMEM120A
NM_021149	Q14019	COTL1
NM_001365252	A0A140TA64	LOC100996750
NM_001394980	Q6NXP6	NOXRED1
NM_013235	Q9NRR4	DROSHA
NM_001004354	Q7Z6K4	NRARP
NM_001286389	Q6ZVK1	TMEM179
NM_181535	Q7Z3Y7	KRT28
NM_001770	P15391	CD19
NM_001005199	Q8NGG4	OR8H1
NM_138358	Q9BSF4	TIMM29
NM_001364878	P35236	PTPN7
NM_018342	Q7Z5S9	TMEM144
NM_003729	O00442	RTCA
NM_001242312	Q86V42	FAM124A
NM_018247	Q9NV96	TMEM30A
NM_001303143	Q68CZ6	HAUS3
NM_177455	Q7RTS1	BHLHA15
NM_012308	Q9Y2K7	KDM2A
NM_003766	Q14457	BECN1
NM_005313	P30101	PDIA3
NM_001124	P35318	ADM
NM_005623	P80075	CCL8
NM_004291	Q16568	CARTPT
NM_021226	Q7Z5H3	ARHGAP22
NM_001242881	Q8IW45	NAXD
NM_012475	Q9UK80	USP21
NM_001166412	Q9H3U7	SMOC2
NM_017806	Q9H400	LIME1
NM_031938	Q9BYV7	BCO2
NM_032889	Q6N075	MFSD5
NM_002508	P14543	NID1
NM_007247	Q9UMZ2	SYNRG
NM_018343	Q9BVS4	RIOK2
NM_001271146	Q9Y274	ST3GAL6
NM_198074	Q8N628	OR2C3
NM_175739	Q86WD7	SERPINA9
NM_032580	Q9BYE0	HES7
NM_024602	Q5T447	HECTD3
NM_001282353	P18564	ITGB6
NM_016589	Q9NPL8	TIMMDC1
NM_139278	Q8N145	LGI3
NM_020526	P29322	EPHA8
NM_174896	Q8NEQ5	C1orf162
NM_014452	O75509	TNFRSF21
NM_001727	P32247	BRS3
NM_014117	Q14CZ0	C16orf72
NM_012288	Q15035	TRAM2
NM_052920	Q96CT2	KLHL29
NM_016354	Q96BD0	SLCO4A1
NM_203314	Q02338	BDH1
NM_004884	Q8IVU1	IGDCC3
NM_001242835	Q9ULP0	NDRG4
NM_015269	Q5TAX3	TUT4
NM_001136534	B4DJY2	TMEM233
NM_000853	P30711	GSTT1
NM_017712	Q9NXJ5	PGPEP1
NM_001184	Q13535	ATR
NM_001024457	P0DJD0	RGPD1
NM_004503	P09630	HOXC6
NM_021930	Q6NUQ1	RINT1
NM_002283	P78386	KRT85
NM_000123	P28715	ERCC5
NM_001145290	Q8TED4	SLC37A2
NM_013253	Q9UBP4	DKK3
NM_015062	Q5VV67	PPRC1
NM_001308	P15169	CPN1
NM_020524	Q96AQ6	PBXIP1
NM_001134831	Q8N157	AHI1
NM_001324366	Q6DHV7	ADAL
NM_020530	P13725	OSM
NM_006475	Q15063	POSTN
NM_001004489	Q9H205	OR2AG1
NM_207322	Q8NCU7	C2CD4A
NM_032683	Q567V2	MPV17L2
NM_015327	Q9UPR3	SMG5
NM_001367621	Q8IYT4	KATNAL2
NM_013438	Q9UMX0	UBQLN1
NM_018941	Q9UBY8	CLN8
NM_001015	P62280	RPS11
NM_001114120	Q5TB30	DEPDC1
NM_018064	Q53H80	AKIRIN2
NM_000161	P30793	GCH1
NM_178168	Q9H207	OR10A5
NM_004140	Q15334	LLGL1
NM_030579	O43169	CYB5B
NM_022840	Q8N3J2	METTL4
NM_199427	Q9NTW7	ZFP64
NM_152414	Q8NFJ8	BHLHE22
NM_145657	Q9H4S2	GSX1
NM_004942	O15263	DEFB4B
NM_002180	P38935	IGHMBP2
NM_022748	Q68CZ2	TNS3
NM_012342	Q13145	BAMBI
NM_130775	Q8WWM1	XAGE5
NM_005960	Q02505	MUC3A
NM_173545	Q8IW19	APLF
NM_032704	Q9BQE3	TUBA1C
NM_006945	P22532	SPRR2D
NM_001008701	O94910	ADGRL1
NM_153717	P57679	EVC
NM_144598	Q86X40	LRRC28
NM_014267	O00193	SMAP
NM_033124	Q8IXS2	CCDC65
NM_001205280	A1L1A6	IGSF23
NM_001199267	Q13574	DGKZ
NM_017541	P22914	CRYGS
NM_018981	Q8IXB1	DNAJC10
NM_014409	O75529	TAF5L
NM_138461	Q96DZ7	TM4SF19
NM_001367943	Q9NQB0	TCF7L2
NM_080617	Q9NTU7	CBLN4
NM_001255978	Q8TEY5	CREB3L4
NM_182906	Q8IUN9	CLEC10A
NM_003256	Q99727	TIMP4
NM_005925	Q16820	MEP1B
NM_207446	Q3ZCQ3	FAM174B
NM_019046	Q6P6B7	ANKRD16
NM_018462	Q8WUW1	BRK1
NM_016468	Q9P0S2	COX16
NM_001624	Q9Y4K1	CRYBG1
NM_054112	Q96PH6	DEFB118
NM_001387857	Q9BUG6	ZSCAN5A
NM_020314	Q7Z3J2	VPS35L
NM_001015878	Q9UQB9	AURKC
NM_000030	P21549	AGXT
NM_017584	Q9UGB7	MIOX
NM_177457	P0DP58	LYNX1
NM_153262	Q8NB59	SYT14
NM_016270	Q9Y5W3	KLF2
NM_001941	Q14574	DSC3
NM_001349118	A0A1B0GUW7	SMIM27
NM_018244	Q9NVA1	UQCC1
NM_138347	Q7Z340	ZNF551
NM_021153	Q9H159	CDH19
NM_001278688	A6NF34	ANTXRL
NM_017481	Q9H347	UBQLN3
NM_001367172	Q0D2J5	ZNF763
NM_024829	Q6P4A8	PLBD1
NM_001098529	Q86VQ3	TXNDC2
NM_001044388	Q8N988	ZNF557
NM_020179	Q9NRQ5	SMCO4
NM_198843	P07988	SFTPB
NM_032870	Q8TF01	PNISR
NM_023918	Q9NYW2	TAS2R8
NM_003031	Q8IUQ4	SIAH1
NM_001124759	A6NGY1	FRG2C
NM_000588	P08700	IL3
NM_022823	Q9H6D8	FNDC4
NM_020525	Q9GZX6	IL22
NM_021128	P62875	POLR2L
NM_001144937	Q5VTL7	FNDC7
NM_006166	P25208	NFYB
NM_052901	Q6KCM7	SLC25A25
NM_020184	Q6P4Q7	CNNM4
NM_001134296	P53677	AP3M2
NM_032498	Q9BQY4	RHOXF2
NM_015550	Q9H4L5	OSBPL3
NM_004609	Q12870	TCF15
NM_014184	Q9P003	CNIH4
NM_017771	Q7Z7A4	PXK
NM_003901	O95470	SGPL1
NM_017640	Q5VZK9	CARMIL1
NM_001395435	A0A1B0GTR4	SPRR5
NM_199242	Q70J99	UNC13D
NM_001282506	Q8N307	MUC20
NM_000676	P29275	ADORA2B
NM_198282	Q86WV6	STING1
NM_016396	Q05D32	CTDSPL2
NM_181269	Q8IZ96	CMTM1
NM_000587	P10643	C7
NM_024945	Q9H9A7	RMI1
NM_015276	Q9UPT9	USP22
NM_000747	P11230	CHRNB1
NM_032348	Q9BRK3	MXRA8
NM_152589	Q8NA57	C12orf50
NM_003795	O60493	SNX3
NM_001385305	P18433	PTPRA
NM_022164	Q9GZM7	TINAGL1
NM_001012978	Q5H9J7	BEX5
NM_000728	P10092	CALCB
NM_000634	P25024	CXCR1
NM_014339	Q96F46	IL17RA
NM_031915	Q96T68	SETDB2
NM_001012984	Q6ZW13	C16orf86
NM_001080508	O95935	TBX18
NM_004121	P36269	GGT5
NM_019848	P09131	SLC10A3
NM_003854	Q9HB29	IL1RL2
NM_005849	O95976	IGSF6
NM_001394302	Q96GD3	SCMH1
NM_023945	Q9H3V2	MS4A5
NM_033117	Q96H35	RBM18
NM_003707	Q9Y265	RUVBL1
NM_018998	Q969U6	FBXW5
NM_144975	Q08AF3	SLFN5
NM_001318121	P00568	AK1
NM_014255	Q9Y2B0	CNPY2
NM_000626	P40259	CD79B
NM_003172	Q15526	SURF1
NM_018023	Q9ULM3	YEATS2
NM_001367979	M0R2J8	DCDC1
NM_005516	P13747	HLA-E
NM_001083111	P01148	GNRH1
NM_152997	Q8NFU4	FDCSP
NM_001365591	Q8NFZ3	NLGN4Y
NM_001130111	Q96GS6	ABHD17A
NM_001007540	A6H8M9	CDHR4
NM_032439	Q96FC7	PHYHIPL
NM_007035	O60938	KERA
NM_021078	Q92830	KAT2A
NM_021931	Q9H5Z1	DHX35
NM_144967	Q6ZRI8	ARHGAP36
NM_138466	Q96EG3	ZNF837
NM_002310	P42702	LIFR
NM_001004744	Q8NH85	OR8U3
NM_144673	Q8TAZ6	CMTM2
NM_020186	Q9NRP4	SDHAF3
NM_052955	Q96PF1	TGM7
NM_002706	O75688	PPM1B
NM_016433	Q9NZD2	GLTP
NM_017653	Q7RTS9	DYM
NM_003134	P37108	SRP14
NM_022153	Q9H7M9	VSIR
NM_005684	Q9Y2T5	GPR52
NM_004630	Q15637	SF1
NM_005109	O95747	OXSR1
NM_032109	Q5XKR4	OTP
NM_172364	Q7Z3S7	CACNA2D4
NM_001042427	Q8N6V4	C10orf53
NM_002239	P48549	KCNJ3
NM_138927	P18583	SON
NM_003713	O14495	PLPP3
NM_001127350	Q9BUE0	MED18
NM_001384340	O43365	HOXA3
NM_001145128	Q5TCS8	AK9
NM_031902	P82675	MRPS5
NM_006932	P53814	SMTN
NM_001329933	Q9P2J9	PDP2
NM_001098672	Q6MZM0	HEPHL1
NM_019556	Q9UJG1	MOSPD1
NM_006401	Q92688	ANP32B
NM_001114086	Q9NZA1	CLIC5
NM_198557	Q6ZSC3	RBM43
NM_001280	Q14011	CIRBP
NM_001189	P78367	NKX3-2
NM_001113378	Q9NVI1	FANCI
NM_000963	P35354	PTGS2
NM_001136018	P07099	EPHX1
NM_000548	P49815	TSC2
NM_145660	Q9BPW4	APOL4
NM_205545	Q6UXB3	LYPD2
NM_005466	O75586	MED6
NM_002295	P08865	RPSA
NM_021821	P82673	MRPS35
NM_001278355	Q8WU20	FRS2
NM_001366735	Q5T8P6	RBM26
NM_005776	O95406	CNIH1
NM_021800	Q9UKB3	DNAJC12
NM_013338	Q9Y673	ALG5
NM_002121	P04440	HLA-DPB1
NM_016048	Q96CN7	ISOC1
NM_199054	Q9HBH9	MKNK2
NM_024101	Q9BV36	MLPH
NM_001130963	O14524	NEMP1
NM_018344	Q9BZD2	SLC29A3
NM_018303	Q96KP1	EXOC2
NM_024638	Q9H974	QTRT2
NM_001048181	P0DN78/P0DN77/P04001	OPN1MW3/OPN1MW2/OPN1MW
NM_144582	Q6UWH6	TEX261
NM_014784	O15085	ARHGEF11
NM_001002759	Q86XK3	SFR1
NM_005585	O43541	SMAD6
NM_005409	O14625	CXCL11
NM_001324328	O75914	PAK3
NM_001367916	Q9H0U3	MAGT1
NM_004390	P09668	CTSH
NM_004750	O75462	CRLF1
NM_014034	Q9Y294	ASF1A
NM_020439	Q96NX5	CAMK1G
NM_015177	Q9Y2E6	DTX4
NM_153234	Q8N485	LIX1
NM_212481	Q03989	ARID5A
NM_000495	P29400	COL4A5
NM_001047160	Q7Z628	NET1
NM_006139	P10747	CD28
NM_033185	Q9BYR6	KRTAP3-3
NM_014497	Q14966	ZNF638
NM_001141936	Q5BLP8	C4orf48
NM_006872	Q9UNN4	GTF2A1L
NM_003733	Q15646	OASL
NM_152901	Q8WXC3	PYDC1
NM_020994	O75638	CTAG2
NM_173505	Q8N6D5	ANKRD29
NM_017429	Q9HAY6	BCO1
NM_000292	P46019	PHKA2
NM_014572	Q9NRM7	LATS2
NM_030770	Q9H3S3	TMPRSS5
NM_014915	Q9UPS8	ANKRD26
NM_001376824	Q9NR56	MBNL1
NM_004357	P48509	CD151
NM_015039	Q9BZQ4	NMNAT2
NM_001004052	Q96RD2	OR52B2
NM_016275	P62341	SELENOT
NM_016040	Q9Y3A6	TMED5
NM_178505	Q6ZUK4	TMEM26
NM_006026	Q92522	H1-10
NM_003870	P46940	IQGAP1
NM_001159522	A8MUV8	ZNF727
NM_001190766	H3BQB6	STMND1
NM_001271	O14647	CHD2
NM_018143	Q9NVR0	KLHL11
NM_014918	Q86X52	CHSY1
NM_001304791	Q9H4M3	FBXO44
NM_018000	Q8N565	MREG
NM_031277	Q9BXT8	RNF17
NM_001256829	A0A087WTH1	TMEM265
NM_001080419	Q9C0B0	UNK
NM_024536	Q8IZ52	CHPF
NM_015072	Q6EMB2	TTLL5
NM_001142316	P25791	LMO2
NM_003673	O15273	TCAP
NM_013327	Q9HBI1	PARVB
NM_024053	Q9NSP4	CENPM
NM_130830	Q8TF66	LRRC15
NM_001111039	Q16670	ZSCAN26
NM_003750	Q14152	EIF3A
NM_005025	Q99574	SERPINI1
NM_005499	Q9UBT2	UBA2
NM_001024218	Q9NQX3	GPHN
NM_018346	Q9HA92	RSAD1
NM_001100120	P0DPD6	ECE2
NM_006242	O95685	PPP1R3D
NM_032504	Q8N2C7	UNC80
NM_005449	O60667	FCMR
NM_003047	P19634	SLC9A1
NM_006010	P55145	MANF
NM_176880	Q86WQ0	NR2C2AP
NM_001017964	A8MPS7	YDJC
NM_005834	O60830	TIMM17B
NM_031215	Q9BTV7	CABLES2
NM_014023	Q9Y2I8	WDR37
NM_138493	Q9P0B6	CCDC167
NM_002109	P12081	HARS1
NM_080662	Q96HA9	PEX11G
NM_017875	Q96DW6	SLC25A38
NM_172070	Q6ZT12	UBR3
NM_001142782	Q5TCQ9	MAGI3
NM_004638	P48634	PRRC2A
NM_005492	O60676	CST8
NM_016498	Q9UDX5	MTFP1
NM_032873	Q8TF42	UBASH3B
NM_005427	O15350	TP73
NM_017566	Q8TBB5	KLHDC4
NM_006786	O95399	UTS2
NM_031964	Q9BYP8	KRTAP17-1
NM_015475	Q8NCA5	FAM98A
NM_001256857	D6RBQ6	USP17L17
NM_001286811	A0A087WV53	SPEGNB
NM_001286059	Q15771	RAB30
NM_019082	Q9NY93	DDX56
NM_018222	Q9NVD7	PARVA
NM_015869	P37231	PPARG
NM_001085347	Q5JU69	TOR2A
NM_031435	Q9H0W7	THAP2
NM_000226	P35527	KRT9
NM_001321386	P21246	PTN
NM_018690	Q0VD83	APOBR
NM_033054	B0I1T2	MYO1G
NM_001008726	Q96FK6	WDR89
NM_001363675	P60002	ELOF1
NM_022362	Q96T76	MMS19
NM_001735	P01031	C5
NM_020361	Q8N4T0	CPA6
NM_001130079	Q9HCE1	MOV10
NM_001293	P54105	CLNS1A
NM_020056	P01906	HLA-DQA2
NM_018295	Q9NV12	TMEM140
NM_001370414	A0A494C030	LOC114841035
NM_000690	P05091	ALDH2
NM_001114403	E5RIL1/B0FP48	UPK3BL2/UPK3BL1
NM_025221	Q6PIL6	KCNIP4
NM_032804	Q96SZ5	ADO
NM_003908	P20042	EIF2S2
NM_030908	O95047	OR2A4
NM_004448	P04626	ERBB2
NM_004983	Q92806	KCNJ9
NM_001394829	Q9GZK7	OR11A1
NM_001572	Q92985	IRF7
NM_024327	Q9H609	ZNF576
NM_024828	Q9H8G2	CAAP1
NM_153447	P59047	NLRP5
NM_002066	Q99445	GML
NM_030934	Q7Z2T5	TRMT1L
NM_000233	P22888	LHCGR
NM_001012276	Q5VWM4	PRAMEF8
NM_001317815	Q86UV6	TRIM74
NM_153812	Q86YI8	PHF13
NM_004947	Q8IZD9	DOCK3
NM_033518	Q8WUX1	SLC38A5
NM_000188	P19367	HK1
NM_021830	Q96RR1	TWNK
NM_001242375	Q9BS18	ANAPC13
NM_207360	A2A288	ZC3H12D
NM_198549	Q8NAN2	MIGA1
NM_001350814	Q13322	GRB10
NM_022143	Q9HBW1	LRRC4
NM_080614	Q8IUB2	WFDC3
NM_016530	Q92930	RAB8B
NM_004607	O75347	TBCA
NM_001079803	P10253	GAA
NM_021186	Q12836	ZP4
NM_016500	Q9BVG4	PBDC1
NM_024893	Q9H7V2	SYNDIG1
NM_020063	Q9NY43	BARHL2
NM_181426	Q9UFE4	CCDC39
NM_020394	Q8IW36	ZNF695
NM_018843	Q8TBP6	SLC25A40
NM_000027	P20933	AGA
NM_014398	Q9UQV4	LAMP3
NM_021267	P27544	CERS1
NM_001395412	A0A1W2PS18	PMIS2
NM_020825	Q96RY5	CRAMP1
NM_006856	P17544	ATF7
NM_138802	Q8WV99	ZFAND2B
NM_015307	O60320	FAM189A1
NM_017908	Q9NWS9	ZNF446
NM_003661	O14791	APOL1
NM_016640	Q9NP92	MRPS30
NM_003282	P48788	TNNI2
NM_032782	Q8TDQ0	HAVCR2
NM_001395296	A0A0X1KG70	OR4M2B
NM_130770	Q8WXA8	HTR3C
NM_032781	P54829	PTPN5
NM_199285	A6NJB7	PRR19
NM_001346880	A6NFX1	MFSD2B
NM_003010	P45985	MAP2K4
NM_017634	Q7L273	KCTD9
NM_015627	Q5SW96	LDLRAP1
NM_001270531	Q15007	WTAP
NM_001329556	Q96HR9	REEP6
NM_012449	Q9UHE8	STEAP1
NM_152586	Q70EL1	USP54
NM_147193	Q8NBF1	GLIS1
NM_001005517	A6NMS3	OR5K4
NM_019012	Q9HAU0	PLEKHA5
NM_153710	Q8NE28	STKLD1
NM_000074	P29965	CD40LG
NM_003626	Q13136	PPFIA1
NM_017747	Q8IWZ3	ANKHD1
NM_001355247	A0A1B0GUS4	UBE2L5
NM_001300781	A6NFD8	HELT
NM_001166496	P53985	SLC16A1
NM_001007532	Q8IWL8	STH
NM_024622	Q53R41	FASTKD1
NM_173628	Q9UFH2	DNAH17
NM_001034841	Q3MIP1	ITPRIPL2
NM_001474	P0DSO3	GAGE4
NM_018934	Q9Y5E9	PCDHB14
NM_001370	Q9C0G6	DNAH6
NM_153216	Q8N7G0	POU5F2
NM_014838	O75132	ZBED4
NM_173050	Q8IWY4	SCUBE1
NM_002721	O00743	PPP6C
NM_001146344	O60813	PRAMEF11
NM_001039349	Q12805	EFEMP1
NM_001124767	Q8WVI0	SMIM4
NM_003137	Q96SB4	SRPK1
NM_001253772	Q5T7P8	SYT6
NM_006755	P37837	TALDO1
NM_138706	Q6ZMB0	B3GNT6
NM_020410	Q9HD20	ATP13A1
NM_182577	Q3SX64	ODF3L2
NM_001199280	O00219	HAS3
NM_133368	Q96DX4	RSPRY1
NM_001166345	Q9P1T7	MDFIC
