Q96EL1	INKA1
Q96FN5	KIF12
Q96FQ7	LINC00526
Q96FT7	ASIC4
Q96FV3	TSPAN17
Q96G42	KLHDC7B
Q96GE6	CALML4
Q96GQ7	DDX27
Q96H96	COQ2
Q96HE8	TMEM80
Q96HZ7	URB1-AS1
Q96I27	ZNF625
Q96I51	RCC1L
Q96IL0	COA8
Q96IR3	-
Q96IT6	ARHGAP5-AS1
Q96IX9	ANKRD36BP1
Q96JG9	ZNF469
Q96JP2	MYO15B
Q96K58	ZNF668
Q96KH6	C18orf12
Q96KJ4	MSLNL
Q96KN2	CNDP1
Q96KT0	FAM167A-AS1
Q96KT6	LINC00208
Q96KV6	BTN2A3P
Q96L14	CEP170P1
Q96L91	EP400
Q96L96	ALPK3
Q96LD1	SGCZ
Q96LM1	LINC00615
Q96LM9	C20orf173
Q96LS8	C2orf48
Q96LW2	RSKR
Q96LW7	CARD19
Q96M15	IGF2BP2-AS1
Q96M19	LINC00477
Q96M42	LINC00479
Q96M66	-
Q96M78	FER1L6-AS2
Q96M85	-
Q96MC9	C1orf147
Q96MD2	C12orf66
Q96ME1	FBXL18
Q96MF0	-
Q96MF4	CCDC140
Q96MH7	C5orf34
Q96MI6	PPM1M
Q96MR7	OBSCN-AS1
Q96MT0	-
Q96MT4	LINC01600
Q96MU5	C17orf77
Q96MU8	KREMEN1
Q96MZ4	FAM218A
Q96N35	LINC00052
Q96N38	ZNF714
Q96N53	LINC00167
Q96N68	C18orf15
Q96NF6	C8orf49
Q96NJ1	-
Q96NJ3	ZNF285
Q96NR2	MIR1-1HG-AS1
Q96NR7	WWC2-AS2
Q96NS8	CLUHP3
Q96NW7	LRRC7
Q96P09	BIRC8
Q96P15	SERPINB11
Q96P47	AGAP3
Q96P88	GNRHR2
Q96PC3	AP1S3
Q96PG1	MS4A4E
Q96PQ5	PPP1R2P1
Q96PQ7	KLHL5
Q96PS6	GAFA1
Q96PT4	DUX3
Q96PV7	FAM193B
Q96PX9	PLEKHG4B
Q96PY0	PSMG3-AS1
Q96PY5	FMNL2
Q96Q06	PLIN4
Q96QZ7	MAGI1
Q96R84	OR1F2P
Q96SE0	ABHD1
Q96SZ4	ZSCAN10
Q96T25	ZIC5
Q96T75	DSCR8
Q96TA0	PCDHB18P
Q99102	MUC4
Q99440	LINC01587
Q99463	NPY6R
Q99490	AGAP2
Q99501	GAS2L1
Q99603	TRGV9
Q99700	ATXN2
Q99705	MCHR1
Q99706	KIR2DL4
Q99729	HNRNPAB
Q99766	DMAC2L
Q99871	HAUS7
Q9BQD1	PMCHL2
Q9BQE5	APOL2
Q9BQS7	HEPH
Q9BQW3	EBF4
Q9BR46	SCP2D1-AS1
Q9BRJ2	MRPL45
Q9BRK5	SDF4
Q9BRP9	-
Q9BT76	UPK3B
Q9BTD1	SHANK2-AS3
Q9BTK2	-
Q9BUB5	MKNK1
Q9BUD6	SPON2
Q9BV90	SNRNP25
Q9BVR0	HERC2P3
Q9BWJ2	RHPN1-AS1
Q9BWM7	SFXN3
Q9BWW7	SCRT1
Q9BXC9	BBS2
Q9BXE9	VN1R3
Q9BXF3	CECR2
Q9BXN1	ASPN
Q9BXR3	ERVK-6
Q9BXT5	TEX15
Q9BXW3	SNHG12
Q9BXX2	ANKRD30B
Q9BY31	ZNF717
Q9BY60	GABARAPL3
Q9BYB0	SHANK3
Q9BYE2	TMPRSS13
Q9BYP9	KRTAP9-9
Q9BYR0	KRTAP4-7
Q9BYX7	POTEKP
Q9BZ68	FRMD8P1
Q9BZ97	TTTY13
Q9BZ98	TTTY12
Q9BZA0	TTTY10
Q9BZA5	TXLNGY
Q9BZB8	CPEB1
Q9BZC5	FKSG35
Q9BZC7	ABCA2
Q9BZD3	GCOM2
Q9BZG8	DPH1
Q9BZK3	NACA4P
Q9BZK8	OCR1
Q9BZP3	LINC00470
Q9BZS9	PNAS-138
Q9C0B2	CFAP74
Q9GIP4	SLC7A5P2
Q9GZL8	BPESC1
Q9GZW5	SCAND2P
Q9H013	ADAM19
Q9H0A3	TMEM191A
Q9H0H9	CYP4F30P
Q9H0J4	QRICH2
Q9H0P0	NT5C3A
Q9H0P7	AGPAT4-IT1
Q9H195	MUC3B
Q9H1A7	POLR2J3
Q9H1B4	NXF5
Q9H1L0	MIR1-1HG
Q9H1Z4	WDR13
Q9H1Z9	TSPAN10
Q9H270	VPS11
Q9H2E6	SEMA6A
Q9H2H0	CXXC4
Q9H2J1	ARRDC1-AS1
Q9H2S1	KCNN2
Q9H2S5	RNF39
Q9H2U6	LINC00597
Q9H310	RHBG
Q9H324	ADAMTS10
Q9H354	PRO1933
Q9H379	PRO3102
Q9H3A6	ENSG00000269823
Q9H427	KCNK15
Q9H478	KCNQ1DN
Q9H489	TSPY26P
Q9H4G8	DPH3P1
Q9H4R4	NCOR1P1
Q9H521	-
Q9H560	ANKRD19P
Q9H579	MROH8
Q9H5J0	ZBTB3
Q9H5L9	C5orf66
Q9H606	PRORY
Q9H6N6	MYH16
Q9H7B7	C7orf69
Q9H7L2	KIR3DX1
Q9H7T3	C10orf95
Q9H8Q6	HEXA-AS1
Q9H8V8	-
Q9H8W2	LINC00472
Q9H8X3	LINC00574
Q9H963	ZNF702P
Q9H9E3	COG4
Q9H9P5	UNKL
Q9H9V9	JMJD4
Q9HA65	TBC1D17
Q9HAA7	-
Q9HAC7	SUGCT
Q9HAH7	FBRS
Q9HAU6	TPT1P8
Q9HB07	MYG1
Q9HB09	BCL2L12
Q9HB19	PLEKHA2
Q9HB66	MKKS
Q9HBF5	ST20
Q9HBQ8	GOLGA2P5
Q9HBU6	ETNK1
Q9HBX3	SND1-IT1
Q9HCF6	TRPM3
Q9HCH0	NCKAP5L
Q9HCQ5	GALNT9
Q9HCQ7	NPVF
Q9HD15	SRA1
Q9HD87	C6orf50
Q9HDB9	ERVK-5
Q9N2J8	-
Q9N2K0	-
Q9NNZ6	PRM3
Q9NQ33	ASCL3
Q9NQ39	RPS10P5
Q9NQA3	WASH6P
Q9NQA5	TRPV5
Q9NQF3	SERHL
Q9NQR1	KMT5A
Q9NQV5	PRDM11
Q9NR09	BIRC6
Q9NR11	ZNF302
Q9NR90	DAZ3
Q9NRI6	PYY2
Q9NRI7	PPY2P
Q9NRJ1	C8orf17
Q9NRJ2	GSN-AS1
Q9NRJ5	PAPOLB
Q9NRJ7	PCDHB16
Q9NRR2	TPSG1
Q9NS71	GKN1
Q9NSJ1	ZNF355P
Q9NSK7	C19orf12
Q9NSQ0	RRP7BP
Q9NT68	TENM2
Q9NTN9	SEMA4G
Q9NU63	ZFP57
Q9NV39	PRR34
Q9NVL1	FAM86C1P
Q9NX05	FAM120C
Q9NX55	HYPK
Q9NX58	LYAR
Q9NX77	ERVK13-1
Q9NXE4	SMPD4
Q9NXG0	CNTLN
Q9NY46	SCN3A
Q9NY84	VNN3
Q9NYB9	ABI2
Q9NYI0	PSD3
Q9NYP8	C21orf62
Q9NYZ3	GTSE1
Q9NZ38	IDI2-AS1
Q9NZH4	PTTG3P
Q9NZH5	PTTG2
Q9NZU1	FLRT1
Q9NZY2	FAM30A
Q9P0G3	KLK14
Q9P0K9	FRRS1L
Q9P1A2	PPP4R1L
Q9P1A6	DLGAP2
Q9P1C3	PRO2829
Q9P1D8	PRO2289
Q9P1G2	RBM12B-AS1
Q9P1J3	DHRS4-AS1
Q9P1P4	TAAR3P
Q9P1Z9	CCDC180
Q9P2C4	TMEM181
Q9P2D7	DNAH1
Q9P2D8	UNC79
Q9P2H0	CEP126
Q9P2K5	MYEF2
Q9P2M7	CGN
Q9P2X7	DELEC1
Q9P2X8	LINC00474
Q9QC07	ERVK-18
Q9UBC1	NFKBIL1
Q9UBF9	MYOT
Q9UBN6	TNFRSF10D
Q9UF12	PRODH2
Q9UF33	EPHA6
Q9UF83	-
Q9UFV1	TBC1D29P
Q9UFV3	-
Q9UH64	CDKN2A-DT
Q9UHF3	NAT8B
Q9UHI7	SLC23A1
Q9UHJ6	SHPK
Q9UHT4	PRO1854
Q9UHU1	PRO1716
Q9UHV5	RAPGEFL1
Q9UI25	PRO0461
Q9UI54	PRO0628
Q9UI72	PRO0255
Q9UIL1	SCOC
Q9UIR0	BTNL2
Q9UJ94	LINC00527
Q9UJW7	ZNF229
Q9UJW8	ZNF180
Q9UJX3	ANAPC7
Q9UK53	ING1
Q9UKN1	MUC12
Q9UKT6	FBXL21P
Q9UKU0	ACSL6
Q9UKU6	TRHDE
Q9UKV3	ACIN1
Q9UKY3	CES1P1
Q9ULI0	ATAD2B
Q9ULT8	HECTD1
Q9UM00	TMCO1
Q9UM54	MYO6
Q9UMZ3	PTPRQ
Q9UN81	L1RE1
Q9UN88	GABRQ
Q9UNG2	TNFSF18
Q9UP83	COG5
Q9UPN3	MACF1
Q9UPX0	IGSF9B
Q9UQ26	RIMS2
Q9UQ49	NEU3
Q9UQG0	ERVK-11
Q9WJR5	ERVK-19
Q9XRX5	HHLA3
Q9Y2I9	TBC1D30
Q9Y2R4	DDX52
Q9Y2T1	AXIN2
Q9Y2W3	SLC45A1
Q9Y2Y1	POLR3K
Q9Y3F1	-
Q9Y442	C22orf24
Q9Y467	SALL2
Q9Y471	CMAHP
Q9Y4C0	NRXN3
Q9Y4D8	HECTD4
Q9Y4F5	CEP170B
Q9Y4I1	MYO5A
Q9Y4K4	MAP4K5
Q9Y4M8	LINC00588
Q9Y520	PRRC2C
Q9Y5E1	PCDHB9
Q9Y5E3	PCDHB6
Q9Y5E4	PCDHB5
Q9Y5I7	CLDN16
Q9Y5K2	KLK4
Q9Y5M1	FAM215A
Q9Y5M6	OCLM
Q9Y5X5	NPFFR2
Q9Y6A9	SPCS1
Q9Y6C7	LINC00312
Q9Y6J3	SMAD5-AS1
Q9Y6N3	CLCA3P
Q9Y6Z2	LINC01558
Q9Y6Z4	KIF25-AS1
Q9Y6Z5	AFDN-DT
S4R3C0	ENSG00000259680
S4R3P1	MTRNR2L13
S4R3Y5	MTRNR2L11
S4R460	IGHV3OR16-9
V9GZ13	ENSG00000285508
